Date;Stock;Open;High;Low;Close;Resist;Support;GSLine;Trend
2020/07/14;EMTK;4500,00;4500,00;4500,00;4500,00;4560,00;4900,00;D;Strong Downtrend
2020/07/14;ENRG;51,00;51,00;50,00;51,00;53,00;51,00;D;Downtrend
2020/07/14;ENVY;133,00;137,00;128,00;131,00;89,00;85,00;U;Uptrend
2020/07/14;EPAC;322,00;336,00;302,00;306,00;334,00;242,00;;N/A
2020/07/14;EPMT;1885,00;1890,00;1875,00;1880,00;1895,00;1860,00;U;Strong Uptrend
2020/07/14;ERAA;1380,00;1390,00;1335,00;1340,00;1285,00;1230,00;U;Strong Uptrend
2020/07/14;ERTX;129,00;129,00;111,00;119,00;135,00;126,00;D;Downtrend
2020/07/14;ESIP;197,00;198,00;193,00;198,00;212,00;170,00;U;Strong Uptrend
2020/07/14;ESSA;157,00;159,00;156,00;158,00;163,00;153,00;D;Uptrend
2020/07/14;ESTA;98,00;107,00;98,00;103,00;102,00;92,00;U;Uptrend
2020/07/14;ESTI;51,00;53,00;50,00;50,00;53,00;50,00;D;Downtrend
2020/07/14;ETWA;77,00;77,00;76,00;76,00;79,00;77,00;D;Uptrend
2020/07/14;EXCL;2930,00;2970,00;2900,00;2970,00;3010,00;2700,00;U;Strong Uptrend
2020/07/14;FAST;920,00;935,00;920,00;920,00;940,00;910,00;D;Strong Downtrend
2020/07/14;FASW;7300,00;7300,00;7300,00;7300,00;7300,00;7300,00;U;Strong Uptrend
2020/07/14;FILM;179,00;179,00;176,00;177,00;174,00;167,00;D;Strong Uptrend
2020/07/14;FINN;50,00;50,00;50,00;50,00;50,00;50,00;N;Strong Uptrend
2020/07/14;FIRE;112,00;116,00;109,00;111,00;115,00;100,00;U;Neutral
2020/07/14;FISH;2720,00;2720,00;2720,00;2720,00;2850,00;2780,00;D;Uptrend
2020/07/14;FITT;67,00;73,00;66,00;69,00;58,00;50,00;U;Strong Uptrend
2020/07/14;FMII;800,00;800,00;800,00;800,00;800,00;800,00;D;Strong Uptrend
2020/07/14;FOOD;123,00;129,00;119,00;128,00;145,00;111,00;D;Strong Uptrend
2020/07/14;FORU;75,00;75,00;75,00;75,00;75,00;75,00;U;Strong Downtrend
2020/07/14;FORZ;50,00;50,00;50,00;50,00;50,00;50,00;U;Strong Uptrend
2020/07/14;FPNI;93,00;93,00;91,00;91,00;94,00;89,00;D;Uptrend
2020/07/14;FREN;97,00;98,00;96,00;97,00;99,00;97,00;D;Downtrend
2020/07/14;FUJI;104,00;107,00;103,00;107,00;108,00;103,00;D;Strong Uptrend
2020/07/14;GAMA;50,00;50,00;50,00;50,00;50,00;50,00;U;Strong Uptrend
2020/07/14;GDST;56,00;61,00;56,00;60,00;65,00;56,00;D;Strong Uptrend
2020/07/14;GDYR;1375,00;1375,00;1375,00;1375,00;1400,00;1400,00;D;Strong Downtrend
2020/07/14;GEMA;372,00;372,00;372,00;372,00;368,00;362,00;U;Strong Uptrend
2020/07/14;GEMS;2550,00;2550,00;2550,00;2550,00;2550,00;2550,00;N;Strong Uptrend
2020/07/14;GGRM;47000,00;47200,00;46900,00;46975,00;47625,00;46500,00;D;Uptrend
2020/07/14;GGRP;276,00;276,00;260,00;264,00;288,00;252,00;D;Strong Downtrend
2020/07/14;GHON;1600,00;1600,00;1600,00;1600,00;1950,00;1590,00;D;Uptrend
2020/07/14;GIAA;258,00;266,00;252,00;260,00;280,00;246,00;U;Strong Uptrend
2020/07/14;GJTL;414,00;414,00;400,00;400,00;388,00;376,00;U;Strong Uptrend
2020/07/14;GLOB;157,00;165,00;157,00;157,00;200,00;144,00;D;Strong Downtrend
2020/07/14;GLVA;324,00;326,00;324,00;326,00;328,00;312,00;D;Strong Uptrend
2019/08/12;GMCW;860,00;860,00;860,00;860,00;860,00;860,00;U;Strong Uptrend
2020/07/14;GMFI;85,00;92,00;85,00;88,00;86,00;83,00;U;Strong Uptrend
2020/07/14;GMTD;17975,00;17975,00;17975,00;17975,00;17975,00;17975,00;U;Strong Uptrend
2020/07/14;GOLD;187,00;200,00;187,00;199,00;236,00;186,00;D;Uptrend
2020/07/14;GOLL;50,00;50,00;50,00;50,00;50,00;50,00;N;Strong Uptrend
2020/07/14;GOOD;1300,00;1300,00;1285,00;1295,00;1310,00;1275,00;D;Uptrend
2020/07/14;GPRA;52,00;52,00;51,00;52,00;54,00;50,00;D;Uptrend
2020/07/14;GREN;328,00;328,00;328,00;328,00;328,00;328,00;N;Strong Uptrend
2020/07/14;GSMF;113,00;113,00;111,00;111,00;125,00;109,00;D;Uptrend
2020/07/14;GTBO;77,00;79,00;75,00;75,00;85,00;77,00;D;Downtrend
2020/07/14;GWSA;110,00;110,00;103,00;103,00;101,00;94,00;U;Strong Uptrend
2020/07/14;GZCO;50,00;50,00;50,00;50,00;50,00;50,00;U;Strong Uptrend
2020/07/14;HADE;50,00;50,00;50,00;50,00;50,00;50,00;N;Strong Uptrend
2020/07/14;HDFA;170,00;170,00;149,00;149,00;160,00;130,00;U;Strong Downtrend
2020/07/14;HDIT;458,00;458,00;438,00;438,00;595,00;570,00;D;Strong Downtrend
2020/07/14;HDTX;120,00;120,00;120,00;120,00;120,00;120,00;N;Strong Uptrend
2020/07/14;HEAL;2980,00;3020,00;2970,00;2990,00;3040,00;2910,00;D;Uptrend
2020/07/14;HELI;232,00;258,00;222,00;240,00;282,00;260,00;D;Uptrend
2020/07/14;HERO;880,00;880,00;845,00;870,00;900,00;820,00;D;Downtrend
2020/07/14;HEXA;3650,00;3800,00;3650,00;3650,00;3340,00;3200,00;U;Strong Uptrend
2020/07/14;HITS;635,00;635,00;600,00;600,00;630,00;520,00;U;Uptrend
2020/07/14;HKMU;85,00;85,00;82,00;84,00;87,00;79,00;U;Strong Uptrend
2020/07/14;HMSP;1685,00;1720,00;1665,00;1710,00;1725,00;1635,00;U;Uptrend
2020/07/14;HOKI;680,00;680,00;655,00;660,00;675,00;640,00;U;Neutral
2020/07/14;HOME;50,00;50,00;50,00;50,00;50,00;50,00;U;Strong Uptrend
2020/07/14;HOTL;50,00;50,00;50,00;50,00;50,00;50,00;U;Strong Downtrend
2020/07/14;HRME;77,00;81,00;77,00;79,00;89,00;107,00;U;Strong Downtrend
2020/07/14;HRTA;230,00;236,00;226,00;228,00;236,00;224,00;U;Neutral
2020/07/14;HRUM;1255,00;1265,00;1210,00;1215,00;1290,00;1175,00;U;Neutral
2020/07/14;IATA;50,00;50,00;50,00;50,00;50,00;50,00;N;Strong Uptrend
2020/07/14;IBFN;300,00;300,00;300,00;300,00;300,00;300,00;U;Strong Downtrend
2020/07/14;IBST;8200,00;8200,00;8200,00;8200,00;8200,00;8200,00;D;Strong Downtrend
2020/07/14;ICBP;9400,00;9450,00;9250,00;9450,00;9550,00;9200,00;U;Uptrend
2020/07/14;ICON;58,00;59,00;57,00;57,00;65,00;58,00;D;Uptrend
2020/07/14;IDPR;168,00;168,00;164,00;164,00;198,00;154,00;D;Uptrend
2020/07/14;IFII;133,00;139,00;133,00;135,00;146,00;126,00;D;Downtrend
2020/07/14;IFSH;450,00;450,00;446,00;446,00;450,00;390,00;U;Strong Uptrend
2020/07/14;IGAR;270,00;270,00;266,00;266,00;278,00;258,00;U;Strong Uptrend
2020/07/14;IHSG;5064,45;5079,12;5053,72;5079,12;5111,56;4885,60;U;Strong Uptrend
2020/07/14;IIKP;50,00;50,00;50,00;50,00;50,00;50,00;N;Strong Uptrend
2020/07/14;IKAI;50,00;50,00;50,00;50,00;50,00;50,00;U;Strong Uptrend
2020/07/14;IKAN;625,00;660,00;610,00;660,00;520,00;462,00;U;Strong Uptrend
2020/07/14;IKBI;224,00;224,00;222,00;222,00;232,00;220,00;D;Downtrend
2020/07/14;IMAS;645,00;650,00;635,00;635,00;660,00;630,00;D;Uptrend
2020/07/14;IMJS;252,00;254,00;244,00;248,00;256,00;242,00;D;Strong Uptrend
2020/07/14;IMPC;1270,00;1270,00;1250,00;1270,00;1150,00;1250,00;D;Strong Uptrend
2020/07/14;INAF;1030,00;1270,00;1010,00;1180,00;1035,00;995,00;U;Uptrend
2020/07/14;INAI;374,00;378,00;356,00;358,00;358,00;336,00;U;Strong Uptrend
2020/07/14;INCF;50,00;50,00;50,00;50,00;50,00;50,00;U;Strong Uptrend
